,cities,city_name,lats,lngs,max_temp,humidity,cloudiness,wind_speed,country,date
77,severo-kurilsk,Severo-Kuril'sk,50.68,156.12,55.4,81,58,17.43,RU,1595906368
78,vitim,Vitim,59.45,112.56,58.62,91,100,9.33,RU,1595906368
79,coquimbo,Coquimbo,-29.95,-71.34,51.8,87,0,3.36,CL,1595906369
80,khudumelapye,Khudumelapye,-23.88,24.75,41.76,76,0,7.45,BW,1595906370
81,belushya guba,,,,,,,,,
82,lucapa,Lucapa,-8.42,20.74,59.7,46,0,4.32,AO,1595906371
83,yellowknife,Yellowknife,62.46,-114.35,66.99,88,75,8.05,CA,1595906372
84,manaus,Manaus,-3.1,-60.02,80.6,74,40,1.81,BR,1595906372
85,tabou,Tabou,4.42,-7.35,74.61,83,100,9.31,CI,1595906373
86,thompson,Thompson,55.74,-97.86,59,77,75,5.82,CA,1595906375
87,boundiali,Boundiali,9.52,-6.49,68.81,97,91,4.16,CI,1595906375
88,kabinda,Kabinda,-6.13,24.48,63.43,40,0,2.15,CD,1595906375
89,bandarbeyla,Bandarbeyla,9.49,50.81,79.92,68,0,20.56,SO,1595906376
90,lasa,Laas,46.62,10.7,61,93,5,5.82,IT,1595906376
91,itapuranga,Itapuranga,-15.56,-49.95,69.44,45,39,5.12,BR,1595906377
92,isla vista,Isla Vista,34.41,-119.86,73,77,1,6.82,US,1595906377
93,salalah,Salalah,17.02,54.09,78.8,100,75,6.93,OM,1595906118
94,puerto ayora,Puerto Ayora,-0.74,-90.35,66,97,87,4,EC,1595906189
95,tak bai,Tak Bai,6.26,102.05,86,70,20,4.7,TH,1595906379
96,mar del plata,Mar del Plata,-38,-57.56,41,86,20,9.17,AR,1595906230
97,raga,Raja,8.46,25.68,68.7,95,100,6.22,SS,1595906217
98,dubai,Dubai,25.26,55.3,96.8,41,12,8.05,AE,1595906166
99,bunia,Bunia,1.57,30.25,61.03,89,17,1.97,CD,1595906380
100,antsohihy,Antsohihy,-14.88,47.99,71.91,69,56,7.09,MG,1595906381
101,palana,Palana,59.12,159.97,54.93,85,13,17.4,RU,1595906381
102,cape town,Cape Town,-33.93,18.42,57.99,87,1,12.75,ZA,1595906382
103,kihei,Kīhei,20.79,-156.47,86,51,20,27.51,US,1595906383
104,shahr-e kord,Shahr-e Kord,32.33,50.86,64.4,45,20,2.24,IR,1595906384
105,chara,Chara,56.91,118.26,79.09,50,94,2.62,RU,1595906384
106,sorong,Sorong,-0.88,131.25,83.03,77,90,4.5,ID,1595906317
107,thinadhoo,Thinadhoo,0.53,72.93,82.53,76,99,8.34,MV,1595906218
108,saskylakh,Saskylakh,71.92,114.08,56.46,55,53,10.25,RU,1595906386
109,mount gambier,Mount Gambier,-37.83,140.77,55.4,76,75,5.82,AU,1595906386
110,kavieng,Kavieng,-2.57,150.8,83.61,76,56,10.54,PG,1595906386
111,kerema,Kerema,-7.96,145.78,81.39,81,98,5.41,PG,1595906387
112,finote selam,Finote Selam,10.7,37.27,56.53,91,100,2.3,ET,1595906388
113,havre-saint-pierre,Havre-St-Pierre,50.23,-63.6,60.8,93,90,13.87,CA,1595906388
114,lavrentiya,Lavrentiya,65.58,-171,47.93,80,93,13.85,RU,1595906162
115,bredasdorp,Bredasdorp,-34.53,20.04,39.2,93,0,2.24,ZA,1595906389
116,barentsburg,,,,,,,,,
117,saleaula,,,,,,,,,
118,tautira,Tautira,-17.73,-149.15,80.6,74,40,14.99,PF,1595906390
119,cayenne,Cayenne,4.93,-52.33,75.2,100,88,7.74,GF,1595906391
120,nanortalik,Nanortalik,60.14,-45.24,46.15,95,100,4.45,GL,1595906391
121,busselton,Busselton,-33.65,115.33,63,98,98,10.38,AU,1595906321
122,christchurch,Christchurch,-43.53,172.63,48.99,93,100,11.41,NZ,1595906392
123,chagda,,,,,,,,,
124,bani,Baní,18.28,-70.33,81,79,23,5.01,DO,1595906393
125,bambous virieux,Bambous Virieux,-20.34,57.76,68,93,40,5.82,MU,1595906394
126,padang,Padang,-0.95,100.35,81.91,70,100,6.53,ID,1595906394
127,koslan,Koslan,63.46,48.9,66.25,68,18,4.41,RU,1595906395
128,pulivendla,Pulivendla,14.42,78.23,82.4,74,75,11.41,IN,1595906395
129,taolanaro,,,,,,,,,
130,kamenskoye,,,,,,,,,
131,palmer,Palmer,42.16,-72.33,84.2,54,75,5.82,US,1595906397
132,amderma,,,,,,,,,
133,ilulissat,Ilulissat,69.22,-51.1,41,86,99,5.82,GL,1595906398
134,victoria,Hong Kong,22.29,114.16,93.2,46,20,10.29,HK,1595906375
135,tchibanga,Tchibanga,-2.85,11.03,64.78,97,5,1.52,GA,1595906398
136,isangel,Isangel,-19.55,169.27,82.4,69,75,10.29,VU,1595906399
137,tura,Tura,25.52,90.22,79.18,92,100,4.72,IN,1595906399
138,georgetown,George Town,5.41,100.34,87.8,62,20,11.41,MY,1595906257
139,fairbanks,Fairbanks,64.84,-147.72,59,82,90,5.82,US,1595906316
140,luderitz,Lüderitz,-26.65,15.16,51.8,93,0,5.82,NA,1595906400
141,alunitdag,,,,,,,,,
142,mys shmidta,,,,,,,,,
143,matara,Matara,5.95,80.54,79.39,85,100,7.72,LK,1595906402
144,quang ngai,Quang Ngai,15.12,108.8,95.63,44,15,1.61,VN,1595906232
145,tiksi,Tiksi,71.69,128.87,40.14,85,100,17.07,RU,1595906403
146,westport,Westport,41.14,-73.36,87.01,74,1,8.05,US,1595906181
147,tuatapere,Tuatapere,-46.13,167.68,48.99,82,100,2.53,NZ,1595906404
148,ngunguru,Ngunguru,-35.62,174.5,60.01,3,79,7,NZ,1595906404
149,verkhnyaya inta,Verkhnyaya Inta,65.98,60.31,57.83,62,0,8.03,RU,1595906405
150,gigmoto,Gigmoto,13.78,124.39,84.16,78,100,6.76,PH,1595906405
151,jiuquan,Jiuquan,39.74,98.52,89.4,15,0,11.54,CN,1595906405
152,mezen,Mezen',65.85,44.24,58.62,76,33,4.07,RU,1595906406
153,moussoro,Moussoro,13.64,16.49,83.93,57,55,10.71,TD,1595906406
154,ambovombe,Ambovombe,-25.17,46.08,61.48,79,0,3.49,MG,1595906406
155,sataua,,,,,,,,,
156,portland,Portland,45.52,-122.68,90,38,40,6.93,US,1595905679
157,diamantino,Diamantino,-14.41,-56.45,72.14,33,0,6.46,BR,1595906407
158,komsomolskiy,Yangi Marg`ilon,40.43,71.72,82.4,39,85,4.7,UZ,1595906303
159,emba,Emba,48.83,58.14,64.02,67,0,13.89,KZ,1595906408
160,port elizabeth,Port Elizabeth,-33.92,25.57,46.4,87,0,3.36,ZA,1595906212
161,bluff,Bluff,-46.6,168.33,48.99,81,100,4.41,NZ,1595906409
162,cuenca,Cuenca,-2.88,-78.98,51.8,87,13,2.24,EC,1595906409
163,vaitupu,,,,,,,,,
164,phaltan,Phaltan,17.98,74.43,77.27,74,98,6.78,IN,1595906409
165,san felipe,San Felipe,10.34,-68.74,71.83,92,100,0.85,VE,1595906410
166,manokwari,Manokwari,-0.87,134.08,81.52,75,98,2.77,ID,1595906158
167,guarapari,Guarapari,-20.67,-40.5,64.4,93,0,2.24,BR,1595906199
168,pringsewu,Pringsewu,-5.36,104.97,85.14,55,66,1.5,ID,1595906411
169,kaseda,Kaseda-shirakame,31.42,130.32,86,74,75,9.17,JP,1595906412
170,cabo san lucas,Cabo San Lucas,22.89,-109.91,86,69,40,11.41,MX,1595906126
171,esmeraldas,Esmeraldas,-19.76,-44.31,64.4,82,0,3.36,BR,1595906412
172,verkhozim,Verkhozim,52.71,45.42,61,55,0,4.09,RU,1595906413
173,yuci,Yuci,37.68,112.73,75.2,64,35,4.47,CN,1595906414
174,goldap,Gołdap,54.31,22.3,57.43,93,100,2.57,PL,1595906414
175,takoradi,Takoradze,4.88,-1.76,74.07,87,100,11.43,GH,1595906415
176,honningsvag,Honningsvåg,70.98,25.97,66.2,59,0,9.17,NO,1595906415
177,deputatskiy,Deputatsky,69.3,139.9,48.42,64,99,7.18,RU,1595906416
178,hirara,Hirara,24.8,125.28,89.6,66,40,12.75,JP,1595906416
179,minas,Minas,-34.38,-55.24,48,67,100,11.01,UY,1595906227
180,berlevag,Berlevåg,70.86,29.09,66.2,59,0,9.17,NO,1595906417
181,pangnirtung,Pangnirtung,66.15,-65.71,57.36,52,100,4.65,CA,1595906222
182,hasaki,Hasaki,35.73,140.83,86,79,75,13.87,JP,1595906188
183,port blair,Port Blair,11.67,92.75,84.11,77,100,12.93,IN,1595906418
184,morant bay,Morant Bay,17.88,-76.41,82.99,83,20,5.82,JM,1595906418
185,eskisehir,Eskişehir,39.78,30.52,66.2,68,0,8.05,TR,1595906418
186,bara,Bara,10.37,10.73,72.37,92,67,7.11,NG,1595906419
187,nizhneyansk,,,,,,,,,
188,havelock,Havelock,34.88,-76.9,84.99,74,75,12.75,US,1595906255
189,grand river south east,,,,,,,,,
190,port augusta,Port Augusta,-32.5,137.77,57.2,50,53,3.36,AU,1595906420
191,middelkerke,Middelkerke,51.16,2.84,62.6,88,75,14.99,BE,1595906421
192,tel aviv-yafo,Tel Aviv-Yafo,32.08,34.78,78.8,78,0,3.36,IL,1595906347
193,dukat,Dukat,62.55,155.55,75.36,34,4,16.91,RU,1595906421
194,okulovka,Okulovka,58.4,33.29,59.05,93,41,3.96,RU,1595906422
195,vardo,Vardø,70.37,31.11,55.4,87,0,5.82,NO,1595906216
196,hermanus,Hermanus,-34.42,19.23,43,95,0,6.71,ZA,1595906422
197,san patricio,San Patricio,19.22,-104.7,79.43,77,96,0.87,MX,1595906423
198,atherton,Atherton,53.52,-2.49,57,75,40,7,GB,1595906305
199,alcala de guadaira,Alcalá de Guadaira,37.34,-5.84,75.2,83,0,3.36,ES,1595906424
200,maneadero,Rodolfo Sánchez Taboada,31.72,-116.57,68,87,23,4,MX,1595906178
201,chifeng,Chifeng,42.27,118.96,80.87,50,62,11.25,CN,1595906425
202,tinskoy,Tinskoy,56.15,96.92,71.47,59,90,1.88,RU,1595906425
203,atar,Atar,20.52,-13.05,88.74,41,38,17.4,MR,1595906426
204,trincomalee,Trincomalee,8.57,81.23,78.44,83,100,14.76,LK,1595906426
205,khatanga,Khatanga,71.97,102.5,55.71,52,0,5.37,RU,1595906427
206,sumenep,Sumenep,-7.02,113.87,84.49,56,25,13.78,ID,1595906428
207,marsh harbour,Marsh Harbour,26.54,-77.06,82.26,77,43,6.96,BS,1595906429
208,ponta do sol,Ponta do Sol,32.67,-17.1,71.6,68,20,14.99,PT,1595906429
209,haljala,Haljala,59.43,26.26,60.8,87,100,0.92,EE,1595906429
210,manaure,Manaure,11.78,-72.44,81.52,75,12,12.3,CO,1595906163
211,sinkat,,,,,,,,,
212,mandalgovi,Mandalgovi,45.76,106.27,70.41,38,0,12.12,MN,1595906430
213,samalaeulu,,,,,,,,,
214,rolim de moura,,,,,,,,,
215,ust-kulom,Ust'-Kulom,61.69,53.69,67.06,63,63,2.04,RU,1595906432
216,saint anthony,Saint Anthony,45.02,-93.22,75.99,56,1,5.82,US,1595906432
217,provideniya,Provideniya,64.38,-173.3,53.6,81,75,11.18,RU,1595906433
218,mahebourg,Mahébourg,-20.41,57.7,64.4,93,40,5.82,MU,1595906433
219,dikson,Dikson,73.51,80.55,41.27,79,49,14.29,RU,1595906433
220,tehuantepec,,,,,,,,,
221,naifaru,Naifaru,5.44,73.37,81.57,78,31,11.72,MV,1595906252
222,margate,Margate,51.38,1.39,61,73,32,1.01,GB,1595906434
223,bay roberts,Bay Roberts,47.6,-53.26,57.99,1,90,2.64,CA,1595906434
224,katsuura,Katsuura,35.13,140.3,84,94,75,25.28,JP,1595906435
225,longyearbyen,Longyearbyen,78.22,15.64,64.4,48,99,11.41,SJ,1595906435
226,nuevo casas grandes,Nuevo Casas Grandes,30.42,-107.92,78.01,52,43,9.66,MX,1595906436
227,krasnoselkup,Krasnosel'kup,65.7,82.47,57.58,62,91,14.61,RU,1595906436
228,tomatlan,Tomatlán,19.93,-105.25,76.73,90,100,1.43,MX,1595906287
229,sao jose da coroa grande,São José da Coroa Grande,-8.9,-35.15,74.5,76,39,11.18,BR,1595906439
230,olafsvik,Olafsvik,64.89,-23.71,47.84,77,78,4.7,IS,1595906440
231,acapulco,Acapulco de Juárez,16.86,-99.89,77,94,90,14.99,MX,1595906442
232,upernavik,Upernavik,72.79,-56.15,44.42,86,95,4.88,GL,1595906283
233,port macquarie,Port Macquarie,-31.43,152.92,68,57,84,3,AU,1595906442
234,johi,Johi,26.69,67.61,93.69,54,0,10.71,PK,1595906443
235,cullman,Cullman,34.17,-86.84,75.99,100,1,2.39,US,1595906443
236,san cristobal,San Cristobal,7.77,-72.22,67.41,81,52,0.78,VE,1595906444
237,etchoropo,Etchoropo,26.77,-109.67,89.01,60,83,11.01,MX,1595906444
238,sunnyside,Sunnyside,46.32,-120.01,91.99,51,1,5.82,US,1595906445
239,bayburt,Bayburt,40.26,40.23,63.21,56,0,2.28,TR,1595906445
240,castro,Castro,-24.79,-50.01,57.42,78,69,3.71,BR,1595906166
241,madimba,Madimba,-10.4,40.33,69.8,88,40,17.22,TZ,1595906446
242,gemunden,Gemünden am Main,50.05,9.7,71.01,85,1,4.65,DE,1595906446
243,surt,Sirte,31.21,16.59,74.46,79,0,5.01,LY,1595906447
244,vanimo,Vanimo,-2.67,141.3,86.04,61,49,7.58,PG,1595906447
245,joaima,Joaíma,-16.65,-41.03,62.58,90,5,1.28,BR,1595906448
246,labuan,Labuan,5.28,115.24,86,79,40,4.7,MY,1595906448
247,lavumisa,Lavumisa,-27.31,31.89,57.2,100,47,1.12,SZ,1595906448
248,muisne,Muisne,0.6,-80.03,73.51,88,100,7.74,EC,1595906448
249,imbituba,Imbituba,-28.24,-48.67,64.4,93,64,6.93,BR,1595906449
250,acarau,Acaraú,-2.89,-40.12,76.14,84,0,12.59,BR,1595906449
251,payson,Payson,40.04,-111.73,77,47,1,3.58,US,1595906180
252,ngukurr,,,,,,,,,
253,zhigansk,Zhigansk,66.77,123.37,54.97,65,41,17.67,RU,1595906450
254,torbay,Torbay,47.67,-52.73,57.99,100,90,10.29,CA,1595906451
255,roma,Rome,43.21,-75.46,75.2,88,20,4.7,US,1595906451
256,faya,Faya,18.39,42.45,64.4,93,75,11.41,SA,1595906452
257,saldanha,Saldanha,-33.01,17.94,46.4,75,0,1.12,ZA,1595906166
258,shujaabad,Shujaabad,29.88,71.29,91.4,66,0,11.41,PK,1595906452
259,am timan,Am Timan,11.03,20.28,73.26,92,100,7.81,TD,1595906453
260,gat,Kiryat Gat,31.61,34.76,78.01,85,0,2.33,IL,1595906453
261,santa cruz de la palma,Santa Cruz de La Palma,28.68,-17.76,73.4,73,90,16.11,ES,1595906454
262,nurobod,Nurobod,40.91,69.8,84.2,35,4,4.7,UZ,1595906454
263,pavino,Pavino,59.11,46.14,61.41,87,15,0.58,RU,1595906455
264,garwa,Garhwa,24.18,83.82,86.5,63,100,4.9,IN,1595906344
265,san juan,San Juan,-31.54,-68.54,46.71,53,2,6.17,AR,1595906259
266,kavaratti,Kavaratti,10.57,72.64,84.2,79,20,6.93,IN,1595906346
267,atasu,Atasū,48.68,71.64,73.35,44,19,9.91,KZ,1595906456
268,kabwe,Kabwe,-14.45,28.45,47.95,79,0,5.53,ZM,1595906457
269,barawe,,,,,,,,,
270,gorele,Görele,41.03,39,77,83,75,5.82,TR,1595906457
271,smithers,Smithers,54.78,-127.17,68,45,75,14.99,CA,1595906458
272,chimbote,Chimbote,-9.09,-78.58,58.62,90,16,5.91,PE,1595906458
273,alofi,Alofi,-19.06,-169.92,77,65,29,17.22,NU,1595906459
274,qaanaaq,Qaanaaq,77.48,-69.36,40.17,70,0,0.94,GL,1595906460
275,san andres,San Andrés,12.58,-81.7,84.2,79,75,11.41,CO,1595906460
276,isiro,Isiro,2.77,27.62,65.46,98,100,0.56,CD,1595906461
277,ajdabiya,Ajdabiya,30.76,20.23,70.16,85,0,8.03,LY,1595906461
278,vicuna,Vicuña,-30.03,-70.71,57,45,1,3.47,CL,1595906462
279,oktyabrskiy,Oktyabr'skiy,54.48,53.47,59.88,82,0,3.78,RU,1595906462
280,buenos aires,Buenos Aires,-34.61,-58.38,44.6,48,70,8.05,AR,1595906462
281,clyde river,Clyde River,70.47,-68.59,41,100,90,12.75,CA,1595906463
282,nuevo progreso,Nuevo Progreso,23.17,-97.95,79,71,100,5.84,MX,1595906463
283,fortuna,Fortuna,40.6,-124.16,57.99,90,92,4.5,US,1595906463
284,larap,Larap,14.3,122.65,85.41,78,100,4.59,PH,1595906464
285,dingle,Dingle,11,122.67,82.33,82,97,1.97,PH,1595906465
286,saint-pierre,Saint-Pierre,-21.34,55.48,68,82,90,5.82,RE,1595906465
287,bocaranga,,,,,,,,,
288,gumdag,Gumdag,39.21,54.59,84.97,55,0,14.09,TM,1595906466
289,lata,Lata,40.16,-8.33,66.99,88,100,1.01,PT,1595906268
290,turmalina,Turmalina,-17.29,-42.73,56.82,95,2,2.3,BR,1595906466
291,nioro,Nioro,13.35,-15.75,76.24,93,100,7.16,GM,1595906467
292,ambon,Ambon City,-3.7,128.18,82,88,75,9.17,ID,1595906178
293,pisco,Pisco,-13.7,-76.22,59,82,20,3.36,PE,1595906468
294,sijunjung,Sijunjung,-0.69,100.95,80.83,63,90,1.61,ID,1595906468
295,fort nelson,Fort Nelson,58.81,-122.7,64.4,72,75,5.82,CA,1595906469
296,bathsheba,Bathsheba,13.22,-59.52,82.4,78,40,13.87,BB,1595906469
297,elliot,Elliot,-31.33,27.85,41.09,64,0,7.25,ZA,1595906470
298,humberto de campos,Humberto de Campos,-2.6,-43.46,75.38,83,2,5.21,BR,1595906470
299,iralaya,Iralaya,15,-83.23,81.41,82,82,15.08,HN,1595906470
300,geraldton,Geraldton,-28.77,114.6,66.2,72,90,11.41,AU,1595906471
301,dubreka,Dubréka,9.79,-13.52,74.95,91,100,4.76,GN,1595906471
302,cap malheureux,Cap Malheureux,-19.98,57.61,68,81,21,1.99,MU,1595906471
303,nalut,Nālūt,30.33,10.85,72.28,40,0,12.03,LY,1595906472
304,maine-soroa,Maïné Soroa,13.21,12.02,80.08,61,60,7.07,NE,1595906472
305,sentyabrskiy,,,,,,,,,
306,kaeo,Kaeo,-35.1,173.78,60.01,3,54,7,NZ,1595906473
307,ormara,Ormara,25.21,64.64,84.76,80,45,16.22,PK,1595906473
308,viransehir,Viranşehir,37.24,39.76,88.93,22,72,5.5,TR,1595906473
309,skalistyy,,,,,,,,,
310,kieta,Kieta,-6.22,155.63,85.01,64,39,3.31,PG,1595906474
311,ceres,Ceres,37.59,-120.96,90,19,1,17.22,US,1595906374
312,burica,,,,,,,,,
313,santa cruz,Santa Cruz de la Sierra,-17.8,-63.17,68,88,0,5.82,BO,1595906475
314,harper,Harper,4.38,-7.72,74.55,83,100,10.04,LR,1595906191
315,tumannyy,,,,,,,,,
316,antalya,Antalya Province,36.77,30.72,75.2,94,40,4.7,TR,1595906321
317,vostok,Vostok,46.49,135.88,79.2,56,22,4.92,RU,1595906477
318,orguz,Orguz,43.77,16.86,57.99,76,0,1.99,BA,1595906478
319,knysna,Knysna,-34.04,23.05,46.4,75,0,3.36,ZA,1595906478
320,murray bridge,Murray Bridge,-35.12,139.27,54,84,87,3.62,AU,1595906406
321,richards bay,Richards Bay,-28.78,32.04,57.18,83,3,6.33,ZA,1595906479
322,attawapiskat,,,,,,,,,
323,ushtobe,Ushtobe,45.25,77.98,85.78,22,100,8.97,KZ,1595906479
324,comodoro rivadavia,Comodoro Rivadavia,-45.87,-67.5,39.2,60,0,9.17,AR,1595906480
325,samusu,,,,,,,,,
326,gobabis,Gobabis,-22.45,18.97,35.6,59,0,1.12,NA,1595906481
327,kirakira,Kirakira,-10.45,161.92,84.9,73,74,9.48,SB,1595906481
328,buy,Buy,58.48,41.53,61.79,82,0,0.87,RU,1595906482
329,swan hill,Swan Hill,-35.34,143.55,63.68,48,0,13.73,AU,1595906482
330,shuangcheng,Shuangcheng,45.35,126.28,80.6,74,40,8.95,CN,1595906482
331,tasiilaq,Tasiilaq,65.61,-37.64,39.2,93,38,2.62,GL,1595906482
332,viligili,,,,,,,,,
333,borogontsy,Borogontsy,62.67,131.17,63.36,95,100,3.15,RU,1595906483
334,baker city,Baker City,44.77,-117.83,84.2,35,1,5.82,US,1595906483
335,alikovo,Alikovo,55.74,46.75,66.2,88,20,2.24,RU,1595906484
336,la ronge,La Ronge,55.1,-105.28,75.2,47,5,4.7,CA,1595906484
337,launceston,Launceston,-41.45,147.17,55.99,71,20,17.22,AU,1595906485
338,meulaboh,Meulaboh,4.14,96.13,75.24,94,100,3.09,ID,1595906485
339,rungata,,,,,,,,,
340,ponta delgada,Ponta Delgada,37.73,-25.67,71.6,88,40,2.21,PT,1595906486
341,wangqing,Wangqing,43.32,129.76,73.02,73,98,5.75,CN,1595906487
342,linhares,Linhares,-19.39,-40.07,65.71,91,0,0.65,BR,1595906431
343,benguela,Benguela,-12.58,13.41,65.66,85,2,1.16,AO,1595906487
344,butembo,Butembo,0.15,29.28,55.56,98,21,2.71,CD,1595906488
345,le port,Le Port,-20.94,55.29,68,72,90,4.7,RE,1595906488
346,galdar,Gáldar,28.15,-15.65,71.6,78,20,27.51,ES,1595906489
347,labe,Labé,11.32,-12.28,66.06,100,100,2.48,GN,1595906489
348,skjervoy,Skjervøy,70.03,20.97,56.93,74,45,9.73,NO,1595906489
349,mount isa,Mount Isa,-20.73,139.5,71.6,19,0,12.75,AU,1595906490
